code4,name,cls,sector,financial,no_market_order
5803,フジクラ,green,非鉄金属,false,false
8306,三菱UFJ,green,銀行,true,false
8316,三井住友FG,green,銀行,true,false
5016,JX金属,green,非鉄金属,false,false
5801,古河電工,green,非鉄金属,false,false
8411,みずほ,green,銀行,true,false
8766,東京海上,green,保険,true,false
5802,住友電工,green,非鉄金属,false,false
8725,MS&AD,green,保険,true,false
5713,住友鉱山,green,非鉄金属,false,false
8729,ソニーFG,green,保険,true,false
8308,りそな,green,銀行,true,false
7182,ゆうちょ,green,銀行,true,false
8750,第一生命,green,保険,true,false
5108,ブリヂストン,green,ゴム,false,false
8630,SOMPO,green,保険,true,false
8309,三井住友TR,green,銀行,true,false
8795,T&D,green,保険,true,false
5101,横浜ゴム,green,ゴム,false,false
5711,三菱マテ,green,非鉄金属,false,false
5714,DOWA,yellow,非鉄金属,false,false
5110,住友ゴム,yellow,ゴム,false,false
5105,TOYO TIRE,yellow,ゴム,false,false
7181,かんぽ生命,yellow,保険,true,false
9364,上組,yellow,倉庫運輸,false,true
9301,三菱倉庫,yellow,倉庫運輸,false,true
9302,三井倉庫,yellow,倉庫運輸,false,true
